 Series|ISBN|ISBN 13|Primary Author|Author on Cover|Title|Subtitle|Original Language|Binding|Discount Type|Published Price|UK Price|Europe Price|Series|Page Count|Illustration Details|Format|Pub Year|BISAC|Territory|BISAC 1|BISAC 2|BISAC 3
1|0674996305|9780674996304|Apollonius Rhodius, |Apollonius Rhodius|Argonautica||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|544|5 maps, index|4-1/4 x 6-3/8|2009|LITERARY CRITICISM / Ancient & Classical,POETRY / Ancient & Classical|World|LIT004190|POE008000|
2|067499647X|9780674996472|Appian, |Appian|Roman History, Volume I||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|452||4-1/4 x 6-3/8|2019|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
3|0674996488|9780674996489|Appian, |Appian|Roman History, Volume II||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|368||4-1/4 x 6-3/8|2019|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
4|0674997263|9780674997264|Appian, |Appian|Roman History, Volume III||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€21,00|Loeb Classical Library|400||4-1/4 x 6-3/8|2019|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
5|0674990064|9780674990067|Appian, |Appian|Roman History, Volume IV|The Civil Wars, Books 3.27-5|Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|688|Index|4-1/4 x 6-3/8|1913|HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|HIS002020|LIT004190|
6|0674990072|9780674990074|Catullus, ,Tibullus, |Catullus and Tibullus|Catullus. Tibullus. Pervigilium Veneris||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|400|Indexes|4-1/4 x 6-3/8|1913|LITERARY CRITICISM / Ancient & Classical|World|LIT004190||
7|0674995716|9780674995710|Cicero, |Cicero|Letters to Atticus, Volume I||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|352|none|4-1/4 x 6-3/8|1999|LITERARY COLLECTIONS / Ancient & Classical,HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|LCO003000|HIS002020|LIT004190
8|0674995724|9780674995727|Cicero, |Cicero|Letters to Atticus, Volume II||Latin|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|352|none|4-1/4 x 6-3/8|1999|LITERARY COLLECTIONS / Ancient & Classical,HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical|World|LCO003000|HIS002020|LIT004190
9|067499566X|9780674995666|Euripides, |Euripides|Suppliant Women. Electra. Heracles||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|464|none|4-1/4 x 6-3/8|1998|DRAMA / Ancient & Classical,HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical|World|DRA006000|HIS002010|LIT004190
10|0674995740|9780674995741|Euripides, |Euripides|Trojan Women. Iphigenia among the Taurians. Ion||Greek, Ancient (to 1453)|Hardback|Loeb|$28,00|£19,95|€25,00|Loeb Classical Library|528|none|4-1/4 x 6-3/8|1999|DRAMA / Ancient & Classical,HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical|World|DRA006000|HIS002010|LIT004190
